model_tag,limit_s,n,acc_model,acc_sbs,acc_diff,mcnemar_p,regret_abs_mean_model,regret_abs_mean_sbs,regret_abs_delta_model_minus_sbs,delta_score_mean,delta_score_ci_lo,delta_score_ci_hi,wilcoxon_p_regret_delta,within_0_1pct_vbs,within_1pct_vbs,within_5pct_vbs,win_vs_sbs,tie_vs_sbs,loss_vs_sbs
global,ALL,3500,0.5171428571428571,0.5625714285714286,-0.045428571428571485,0.0009348800212377182,14.603428571428571,23.85552380952381,-9.252095238095238,9.252095238095238,8.41492619047619,10.12455,8.0310658326340865e-115,0.42342857142857143,0.5437142857142857,0.8651428571428571,0.336,0.5857142857142857,0.07828571428571429
per-limit-1.0s,ALL,700,0.5957142857142858,0.7528571428571429,-0.15714285714285714,2.0702920103964363e-11,17.107142857142858,17.49809523809524,-0.39095238095238116,0.39095238095238105,-0.4300119047619046,1.1924880952380956,0.10029124199832964,0.47285714285714286,0.5271428571428571,0.7742857142857142,0.11285714285714285,0.82,0.06714285714285714
per-limit-10.0s,ALL,700,0.49142857142857144,0.5242857142857142,-0.03285714285714281,0.33044700206248057,14.259047619047617,22.581904761904763,-8.322857142857146,8.322857142857142,6.5004523809523835,10.176678571428573,3.105910796426789e-23,0.3942857142857143,0.5342857142857143,0.8771428571428571,0.3742857142857143,0.5142857142857142,0.11142857142857143
per-limit-20.0s,ALL,700,0.51,0.5014285714285714,0.008571428571428563,0.8264701404425213,15.505714285714285,28.19857142857143,-12.692857142857145,12.692857142857143,10.538511904761904,14.92917857142857,5.02041478986042e-33,0.38142857142857145,0.54,0.8928571428571429,0.41714285714285715,0.5042857142857143,0.07857142857142857
per-limit-40.0s,ALL,700,0.5157142857142857,0.47714285714285715,0.038571428571428534,0.2591713469255366,15.028571428571428,33.06666666666666,-18.038095238095234,18.03809523809524,15.349309523809524,20.711952380952386,6.39612224049192e-42,0.39,0.5442857142857143,0.9014285714285715,0.47,0.4785714285714286,0.05142857142857143
per-limit-5.0s,ALL,700,0.4828571428571429,0.5571428571428572,-0.07428571428571429,0.01564429842678317,12.049523809523809,17.932380952380953,-5.882857142857144,5.882857142857142,4.3545833333333315,7.454369047619048,5.0675412408679254e-17,0.4757142857142857,0.5628571428571428,0.8814285714285715,0.2985714285714286,0.61,0.09142857142857143
